"","sex","moment","height1","height2","num","den","F","p","significant"
"1","M","Norm_RE_Moment",1,2,1,998,0.0825268418637904,0.773961510824865,0
"2","M","Norm_RE_Moment",1,3,1,998,52.8314658698211,7.32615067848727e-13,1
"3","M","Norm_RE_Moment",1,4,1,998,196.475392548813,7.02644207862448e-41,1
"4","M","Norm_RE_Moment",2,3,1,998,55.6751990585484,1.85691591374648e-13,1
"5","M","Norm_RE_Moment",2,4,1,998,198.245571721811,3.34351903437965e-41,1
"6","M","Norm_RE_Moment",3,4,1,998,125.039264752127,1.97062985818666e-27,1
"7","M","Norm_RS_Moment",1,2,1,998,343.183896328817,4.43053456092721e-66,1
"8","M","Norm_RS_Moment",1,3,1,998,463.105531223946,1.09866462348874e-84,1
"9","M","Norm_RS_Moment",1,4,1,998,425.335665719837,5.36194169489344e-79,1
"10","M","Norm_RS_Moment",2,3,1,998,6.25825158967593,0.0125208017663948,0
"11","M","Norm_RS_Moment",2,4,1,998,9.60629966625116,0.00199342894995265,0
"12","M","Norm_RS_Moment",3,4,1,998,0.525878060826305,0.468514976479896,0
"13","M","Norm_B_Moment",1,2,1,998,0.364576882357872,0.546112489372113,0
"14","M","Norm_B_Moment",1,3,1,998,858.973549840321,1.00291179249663e-136,1
"15","M","Norm_B_Moment",1,4,1,998,854.606960332962,3.25122060925771e-136,1
"16","M","Norm_B_Moment",2,3,1,998,398.991632424648,6.1338463813159e-75,1
"17","M","Norm_B_Moment",2,4,1,998,396.909348109851,1.29360535602436e-74,1
"18","M","Norm_B_Moment",3,4,1,998,29.8178092290782,5.99084385306781e-08,1
"19","F","Norm_RE_Moment",1,2,1,998,79.9867444367976,1.79410286880002e-18,1
"20","F","Norm_RE_Moment",1,3,1,998,26.2756272913674,3.55361446117042e-07,1
"21","F","Norm_RE_Moment",1,4,1,998,67.4363116130724,6.68802347593179e-16,1
"22","F","Norm_RE_Moment",2,3,1,998,153.006057641125,8.43481364910311e-33,1
"23","F","Norm_RE_Moment",2,4,1,998,0.366059525187304,0.545297579365864,0
"24","F","Norm_RE_Moment",3,4,1,998,124.367104998959,2.66301126524492e-27,1
"25","F","Norm_RS_Moment",1,2,1,998,420.359909227022,3.09048393993012e-78,1
"26","F","Norm_RS_Moment",1,3,1,998,503.909163723994,1.14684838239991e-90,1
"27","F","Norm_RS_Moment",1,4,1,998,416.111355348054,1.38575495805061e-77,1
"28","F","Norm_RS_Moment",2,3,1,998,0.0606528542430605,0.805517680675393,0
"29","F","Norm_RS_Moment",2,4,1,998,8.86672638270863,0.00297432505837712,0
"30","F","Norm_RS_Moment",3,4,1,998,11.5106734841525,0.000719156987323951,1
"31","F","Norm_B_Moment",1,2,1,998,729.191623815787,5.27402380051077e-121,1
"32","F","Norm_B_Moment",1,3,1,998,750.91694531653,1.02234105184132e-123,1
"33","F","Norm_B_Moment",1,4,1,998,727.197827821108,9.39275176365956e-121,1
"34","F","Norm_B_Moment",2,3,1,998,5.9982874453123,0.0144908442600695,0
"35","F","Norm_B_Moment",2,4,1,998,1.89170182698712,0.16931873119645,0
"36","F","Norm_B_Moment",3,4,1,998,79.2315260171796,2.55614172806646e-18,1
